val_acc,epoch,step,train_acc
0.8966000080108643,0,858,
,0,858,0.7733738422393799
0.9182000160217285,1,1717,
,1,1717,0.9131439328193665
0.9318000078201294,2,2576,
,2,2576,0.9317338466644287
0.9426000118255615,3,3435,
,3,3435,0.9450851082801819
0.9488000273704529,4,4294,
,4,4294,0.9535797238349915
