accuracy,epoch,step,train_acc,val_acc
,0,859,,0.8980000019073486
,0,859,0.7734545469284058,
,1,1719,,0.9193999767303467
,1,1719,0.9132000207901001,
0.9251272678375244,2,1720,,
0.9193999767303467,2,1720,,
0.921999990940094,2,1720,,
