epoch,step,train_acc,val_acc
0,859,,0.8877999782562256
0,859,0.7752909064292908,
1,1719,,0.9031999707221985
1,1719,0.9106545448303223,
2,2579,,0.9300000071525574
2,2579,0.9308909177780151,
3,3439,,0.9430000185966492
3,3439,0.9430181980133057,
4,4299,,0.9495999813079834
4,4299,0.9523090720176697,
5,5159,,0.9535999894142151
5,5159,0.9579818248748779,
6,6019,,0.9580000042915344
6,6019,0.9635818004608154,
7,6879,,0.9574000239372253
7,6879,0.9666363596916199,
8,7739,,0.9571999907493591
8,7739,0.970127284526825,
9,8599,,0.9611999988555908
9,8599,0.9725818037986755,
