epoch,step,train_acc,val_acc
0,859,,0.879800021648407
0,859,0.7678545713424683,
1,1719,,0.9065999984741211
1,1719,0.9096181988716125,
2,2579,,0.9297999739646912
2,2579,0.9277454614639282,
3,3439,,0.9308000206947327
3,3439,0.9415636658668518,
4,4299,,0.9358000159263611
4,4299,0.9506727457046509,
5,5159,,0.9488000273704529
5,5159,0.9575636386871338,
6,6019,,0.9534000158309937
6,6019,0.9620363712310791,
7,6879,,0.9556000232696533
7,6879,0.965927243232727,
8,7739,,0.9595999717712402
8,7739,0.9685454368591309,
9,8599,,0.9607999920845032
9,8599,0.9715272784233093,
