epoch,step,train_acc,val_acc
0,859,,0.890999972820282
0,859,0.7704363465309143,
1,1719,,0.9164000153541565
1,1719,0.9123818278312683,
2,2579,,0.9291999936103821
2,2579,0.9328181743621826,
3,3439,,0.9404000043869019
3,3439,0.9442545175552368,
4,4299,,0.9502000212669373
4,4299,0.9526727199554443,
5,5159,,0.9534000158309937
5,5159,0.9590908885002136,
6,6019,,0.954200029373169
6,6019,0.9639999866485596,
7,6879,,0.9509999752044678
7,6879,0.9683091044425964,
8,7739,,0.9611999988555908
8,7739,0.9707090854644775,
9,8599,,0.9606000185012817
9,8599,0.9737091064453125,
